x_values,max_bed_demand
2,20
3,20.1
4,20.2
5,20.6
6,22.1
7,21.3
8,22.8
9,24.2
10,23.7
11,22.7
12,25.9
13,27
14,28.3
15,29.7
16,27.6
17,29.7
18,29.9
19,30.5
20,30.5
21,32.5
22,29.9
23,31.4
24,36.1
25,39
26,40.4
27,41.9
28,43.6
29,43.9
30,43
31,44.9
32,47.6
33,44.9
34,45.1
35,50
36,49.4
37,51.9
38,50.5
39,47.9
40,51.9
41,53.8
42,55.5
43,55.3
44,58.9
45,68.2
46,63.9
47,65.8
48,64.3
49,66.1
50,77.1
51,76.6
52,78.6
53,77
54,72.6
55,79.4
56,80.9
57,79.7
58,77.5
59,91.5
60,93
61,94.1
62,97
63,87.3
64,98.2
65,90
66,89.4
67,89.7
68,92
69,97.6
70,96.5
71,96.4
72,98.7
73,98.7
74,95.1
75,107.6
76,103
77,95.8
78,99.2
79,98.5
80,98
81,97.1
82,105.3
83,101.1
84,102.6
85,102.4
86,100.3
87,107.6
88,106
89,103.8
90,104.8
91,99.3
92,100.8
93,104.2
94,105.7
95,97.9
96,113.1
97,110.6
98,110.8
99,111.2
100,112.6
101,110.3
102,107.5
103,112.1
104,101.9
105,110.9
106,109.1
107,103.7
108,114
109,109.3
110,112.9
111,102.9
112,110.2
113,105.4
114,101.8
115,112.5
116,108.7
117,114.2
118,110.5
119,102.8
120,106.8
