x_values,max_bed_demand
2,40
3,40.3
4,40.6
5,42.7
6,43.3
7,42.2
8,46.8
9,46.2
10,46.9
11,49.8
12,53
13,55
14,53.8
15,57.4
16,56.5
17,57.9
18,62.4
19,63.6
20,62.8
21,62.2
22,62.4
23,64.1
24,69.4
25,72.9
26,68.8
27,69.8
28,72.7
29,74.5
30,74.5
31,79.3
32,79.3
33,74.5
34,80.9
35,82.7
36,87.5
37,78
38,79.7
39,83
40,80.5
41,82.8
42,80.6
43,86.8
44,91.2
45,86.7
46,89.6
47,92.1
48,92.7
49,94.4
50,99
51,95.2
52,102.9
53,103.8
54,102.8
55,103.9
56,101.5
57,100.8
58,105.5
59,104.5
60,110
61,118.2
62,111.4
63,106.2
64,115.6
65,113.5
66,114.6
67,112.5
68,109.5
69,113.3
70,116
71,118.6
72,109
73,115
74,114.2
75,115.4
76,118.5
77,119.7
78,113.2
79,118.3
80,114.4
81,124.4
82,119.8
83,121.1
84,125.5
85,122.8
86,120.1
87,123.8
88,117.8
89,118.8
90,121
91,122
92,119.4
93,118.4
94,125
95,125.9
96,128.7
97,127.2
98,124
99,120.9
100,122.1
101,121.8
102,121.8
103,128.4
104,121.9
105,119.5
106,126.2
107,128.5
108,123.3
109,126.7
110,121.9
111,122.3
112,122.3
113,123.5
114,121.8
115,124.8
116,120.2
117,122.9
118,126.4
119,125.1
120,125.6
